timestamp,farm_id,animal_type,total_animals,sick_animals,deceased_animals,avg_temperature,activity_level,feed_intake_percent,water_intake_percent,location_lat,location_lon,activity_level_normalized
2026-08-24,FARM-0003,swine,101,3,0,37.92,7.04,88.08,87.2,-13.4605,34.8185,0.07047411576933912
2026-08-24,FARM-0004,goat,494,11,3,38.85,6.42,93.5,88.86,-22.2901,29.1021,-1.0416189457081129
2026-08-24,FARM-0005,goat,142,2,0,38.3,7.21,88.36,87.07,-4.9966,22.4523,0.37540285843251125
2026-08-24,FARM-0006,sheep,418,6,2,38.5,6.59,88.61,83.67,-7.113,36.9144,-0.7366902030449406
2026-08-24,FARM-0007,poultry,213,3,0,38.24,6.57,86.48,88.11,-0.1625,26.675,-0.772564172770019
2026-08-24,FARM-0008,swine,237,5,0,38.84,7.21,82.86,92.18,-21.7162,41.8787,0.37540285843251125
2026-08-24,FARM-0009,poultry,120,1,0,38.62,6.9,35.403969275572706,87.67,-14.4327,42.1809,-0.18064367230621392
2026-08-24,FARM-0010,sheep,415,3,0,39.02,6.48,86.18,90.33,-25.1117,32.5306,-0.9339970365328746
2026-08-25,FARM-0001,cattle,307,9,3,38.19,6.57,87.16,87.58,-10.7167,26.7665,-0.772564172770019
2026-08-25,FARM-0002,sheep,408,2,0,38.4,7.07,86.61,78.9,-26.0563,37.0213,0.1242850703569582
2026-08-25,FARM-0003,sheep,267,5,1,39.2,6.55,86.66,79.94,-21.4763,27.8805,-0.8084381424950989
2026-08-25,FARM-0004,cattle,371,9,3,39.2,6.05,98.16,86.32,-21.2293,41.1897,-1.705287385622076
2026-08-25,FARM-0005,sheep,280,1,0,38.91,6.4,88.09,89.36,-28.2273,40.021,-1.0774929154331911
2026-08-25,FARM-0006,swine,155,5,1,37.93,7.1,92.46,88.23,4.9832,28.9566,0.1780960249445757
2026-08-25,FARM-0007,sheep,494,7,2,38.72,7.03,89.47,79.95,3.3318,41.847,0.05253713090679996
2026-08-25,FARM-0008,goat,242,4,0,38.77,7.6,85.85,86.91,-25.574,23.6313,1.0749452680715528
2026-08-25,FARM-0009,poultry,446,3,0,38.4,7.35,94.96,91.33,-4.1887,28.9621,0.6265206465080643
2026-08-25,FARM-0010,poultry,284,8,1,38.38,6.49,84.59,82.68,-28.5239,44.7707,-0.9160600516703354
2026-08-26,FARM-0001,poultry,127,1,0,38.42,6.93,93.2,81.65,-18.8972,41.8687,-0.12683271771859642
2026-08-26,FARM-0002,sheep,364,7,2,38.48,6.97,85.35,84.31,-21.5578,38.2095,-0.05508477826843819
2026-08-26,FARM-0003,goat,306,1,0,38.96,5.98,87.04,84.64,-27.3722,28.325,-1.8308462796598517
2026-08-26,FARM-0004,goat,472,0,0,38.21,6.53,91.12,78.6,1.757,39.2963,-0.8443121122201772
2026-08-26,FARM-0005,cattle,73,1,0,38.54,7.45,91.85,84.75,-14.1748,44.5969,0.8058904951334607
2026-08-26,FARM-0006,cattle,112,3,0,38.24,6.97,88.79,92.53,-16.3259,22.3295,-0.05508477826843819
2026-08-26,FARM-0007,poultry,51,0,0,37.82,6.36,82.02,86.73,-17.1695,44.6404,-1.1492408548833493
2026-08-26,FARM-0008,poultry,290,2,0,38.53,5.96,92.24,87.27,-1.113,34.0998,-1.8667202493849318
2026-08-26,FARM-0009,sheep,52,1,0,39.43,7.12,92.44,83.85,-29.1671,28.7263,0.2139699946696556
2026-08-26,FARM-0010,poultry,74,2,0,38.33,8.44,84.01,82.67,-6.5429,36.9249,2.581651996524874
2026-08-27,FARM-0001,goat,275,1,0,38.48,7.28,89.76,83.04,-5.6867,23.1289,0.5009617524702885
2026-08-27,FARM-0002,goat,80,1,0,38.31,7.47,91.6,80.84,3.4234,32.0653,0.841764464858539
2026-08-27,FARM-0003,swine,177,0,0,38.76,7.45,87.59,85.09,-24.8493,35.9154,0.8058904951334607
2026-08-27,FARM-0004,sheep,450,10,1,38.72,7.62,87.85,89.93,-2.9416,26.5102,1.1108192377966328
2026-08-27,FARM-0005,sheep,357,10,4,39.17,7.5,88.11,89.14,-5.5835,30.6823,0.895575419446158
2026-08-27,FARM-0006,cattle,103,3,0,38.79,7.43,90.51,87.83,0.1394,34.5691,0.7700165254083807
2026-08-27,FARM-0007,poultry,70,0,0,37.67,7.44,91.47,87.25,-22.4599,42.2575,0.7879535102709215
2026-08-27,FARM-0008,cattle,360,4,1,38.88,7.63,93.27,81.8,-20.7713,38.029,1.1287562226591719
2026-08-27,FARM-0009,cattle,456,8,2,38.6,6.61,96.26,89.79,-7.5253,29.8127,-0.7008162333198608
2026-08-27,FARM-0010,swine,432,3,1,38.69,7.43,81.91,80.45,-3.266,34.1859,0.7700165254083807
2026-08-28,FARM-0001,sheep,354,2,0,38.54,6.48,87.71,81.44,-28.1771,20.825,-0.9339970365328746
2026-08-28,FARM-0002,poultry,144,4,1,38.3,7.12,87.02,94.21,-20.0372,34.3211,0.2139699946696556
2026-08-28,FARM-0003,sheep,341,8,3,38.21,7.15,91.19,83.73,-26.7649,42.7266,0.2677809492572747
2026-08-28,FARM-0004,sheep,312,5,1,38.73,7.35,92.92,86.47,-10.8352,20.6735,0.6265206465080643
2026-08-28,FARM-0005,swine,455,11,3,38.63,6.98,83.14,82.37,-21.54,37.9769,-0.03714779340589743
2026-08-28,FARM-0006,poultry,292,4,0,38.68,7.47,89.98,82.11,-9.4079,43.9476,0.841764464858539
2026-08-28,FARM-0007,sheep,199,8,2,38.5,7.49,90.44,75.75,-16.933,28.8768,0.8776384345836189
2026-08-28,FARM-0008,sheep,359,5,1,38.41,7.61,91.05,86.98,-3.3635,32.7448,1.0928822529340936
2026-08-28,FARM-0009,swine,107,19,0,38.54,7.47,88.48,86.08,0.2464,21.0803,0.841764464858539
2026-08-28,FARM-0010,swine,184,3,1,38.33,7.31,92.96,83.04,-17.8985,31.7187,0.554772707057906
2026-08-29,FARM-0001,sheep,389,4,0,38.1,7.02,97.37,85.62,-2.0336,22.4458,0.03460014604425921
2026-08-29,FARM-0002,cattle,232,1,0,38.77,7.17,99.83,74.41,-2.7903,23.0291,0.303654918982353
2026-08-29,FARM-0003,cattle,347,0,0,38.46,6.77,92.29,88.19,-22.1925,30.4109,-0.41382447551922935
2026-08-29,FARM-0004,goat,341,5,1,43.34277666452691,6.5,88.71,81.47,-14.447,24.6116,-0.8981230668077963
2026-08-29,FARM-0005,goat,182,0,0,38.25,7.21,93.06,81.51,-13.9682,24.4254,0.37540285843251125
2026-08-29,FARM-0006,poultry,398,3,1,39.13,7.22,95.28,88.59,-9.7394,35.4268,0.3933398432950504
2026-08-29,FARM-0007,sheep,294,0,0,38.62,6.82,89.56,97.65,-14.8189,28.2219,-0.3241395512065304
2026-08-29,FARM-0008,cattle,460,3,1,37.75,6.9,95.22,85.43,-16.3345,29.6116,-0.18064367230621392
2026-08-29,FARM-0009,goat,116,1,0,38.63,7.71,93.25,83.3,-25.5211,29.5137,1.2722521015594883
2026-08-29,FARM-0010,swine,199,3,1,39.06,7.06,90.01,92.26,-21.6398,20.3489,0.10634808549441745
2026-08-30,FARM-0001,sheep,231,6,1,38.3,6.4,91.4,83.99,-14.544,40.4317,-1.0774929154331911
2026-08-30,FARM-0002,goat,114,0,0,38.81,6.78,101.09,78.96,1.4474,23.2514,-0.3958874906566886
2026-08-30,FARM-0003,swine,450,15,7,38.92,7.53,75.57,88.42,-24.6534,38.1816,0.9493863740337771
2026-08-30,FARM-0004,sheep,326,12,3,37.82,6.96,39.615170185053366,84.04,-20.8321,38.4494,-0.07302176313097734
2026-08-30,FARM-0005,cattle,186,3,0,38.11,6.81,83.88,77.04,-4.8413,41.446,-0.3420765360690711
2026-08-30,FARM-0006,goat,179,3,0,38.32,7.6,86.13,84.0,-22.2372,28.1374,1.0749452680715528
2026-08-30,FARM-0007,cattle,67,0,0,39.64,6.46,88.85,74.33,-6.1621,23.8747,-0.9698710062579545
2026-08-30,FARM-0008,poultry,364,4,0,39.15,7.95,85.86,84.77,-7.6004,36.4381,1.702739738260438
2026-08-30,FARM-0009,swine,89,1,0,38.62,7.84,97.94,87.43,-9.5541,37.69,1.5054329047725024
2026-08-30,FARM-0010,cattle,69,0,0,38.78,6.09,92.13,84.8,-29.1935,30.4682,-1.6335394461719177
2026-08-31,FARM-0001,goat,120,4,0,38.66,6.57,93.05,89.19,4.4442,38.7158,-0.772564172770019
2026-08-31,FARM-0002,swine,138,1,0,39.08,7.48,90.71,85.53,-5.6182,22.3869,0.8597014497210798
2026-08-31,FARM-0003,goat,123,2,0,38.25,7.98,89.2,85.24,-1.2857,37.1005,1.756550692848057
2026-08-31,FARM-0004,poultry,153,2,0,38.32,6.94,87.67,84.44,-23.1678,23.3658,-0.10889573285605567
2026-08-31,FARM-0005,goat,149,2,0,38.95,6.68,92.29,85.81,-29.2642,42.4189,-0.575257339282085
2026-08-31,FARM-0006,poultry,299,5,1,38.47,7.19,85.97,76.57,-29.4983,25.037,0.3395288887074329
2026-08-31,FARM-0007,sheep,341,1,0,38.12,6.95,90.0,86.91,-23.2685,40.3135,-0.09095874799351651
2026-08-31,FARM-0008,goat,180,3,1,37.98,7.13,23.40351732151148,82.58,-0.8486,44.7971,0.23190697953219477
2026-08-31,FARM-0009,cattle,500,13,3,39.14,7.65,102.52,87.2,-14.9855,27.1173,1.164630192384252
2026-08-31,FARM-0010,cattle,386,14,3,38.04,5.63,79.38,77.17,-13.2623,22.3281,-2.458640749848737
2026-09-01,FARM-0001,poultry,294,11,3,38.25,7.3,87.34,87.64,-25.5592,22.5152,0.5368357221953669
2026-09-01,FARM-0002,sheep,339,7,2,37.38,6.36,85.18,91.1,-9.4873,27.251,-1.1492408548833493
2026-09-01,FARM-0003,goat,473,9,1,38.15,7.05,87.14,97.56,-28.4608,27.8566,0.08841110063187829
2026-09-01,FARM-0004,poultry,459,9,2,38.35,7.07,24.557583537539205,85.5,-29.9833,33.6586,0.1242850703569582
2026-09-01,FARM-0005,cattle,270,7,1,38.38,7.89,93.95,88.23,-2.57,33.8474,1.5951178290851997
2026-09-01,FARM-0006,cattle,233,6,1,38.54,7.79,91.37,90.1,-17.9619,41.3698,1.415747980459805
2026-09-01,FARM-0007,cattle,496,10,2,39.38,6.4,96.63,76.17,-7.9351,24.1021,-1.0774929154331911
2026-09-01,FARM-0008,poultry,398,7,1,37.31,7.27,96.48,87.76,-26.8956,24.0568,0.4830247676077478
2026-09-01,FARM-0009,swine,199,2,0,39.96,7.45,92.81,79.94,-27.7433,24.5201,0.8058904951334607
2026-09-01,FARM-0010,sheep,195,4,0,38.23,6.68,87.19,85.63,-15.4545,21.7577,-0.575257339282085
2026-09-02,FARM-0001,swine,247,1,0,38.38,6.53,89.78,86.68,-22.5215,36.161,-0.8443121122201772
2026-09-02,FARM-0002,sheep,238,1,0,38.83,6.38,89.99,84.94,-22.209,30.5927,-1.113366885158271
2026-09-02,FARM-0003,swine,399,10,3,38.3,6.34,101.39,76.72,3.1804,23.2744,-1.1851148246084293
2026-09-02,FARM-0004,poultry,241,3,0,38.74,5.83,89.76,83.38,4.8143,29.4825,-2.0999010525979456
2026-09-02,FARM-0005,cattle,230,5,0,38.42,6.24,88.19,76.9,-15.0027,20.0208,-1.364484673233824
2026-09-02,FARM-0006,goat,490,2,0,38.78,7.47,82.19,80.72,-25.8532,30.7393,0.841764464858539
2026-09-02,FARM-0007,sheep,94,1,0,39.25,6.34,95.2,87.15,-16.4247,23.5485,-1.1851148246084293
2026-09-02,FARM-0008,sheep,363,10,3,38.23,7.18,94.02,75.9,-16.7812,31.1434,0.32159190384489217
2026-09-02,FARM-0009,poultry,351,6,1,38.96,6.75,89.99,90.55,-5.5392,33.7526,-0.4496984452443077
2026-09-02,FARM-0010,poultry,85,1,0,38.46,6.76,97.78,81.25,-15.6876,20.2995,-0.43176146038176855
2026-09-03,FARM-0001,cattle,120,2,0,38.39,6.99,97.27,93.76,-22.0216,40.2806,-0.019210808543358274
2026-09-03,FARM-0002,poultry,195,4,1,38.53,7.19,91.7,89.53,-2.9495,41.37,0.3395288887074329
2026-09-03,FARM-0003,sheep,74,1,0,38.49,7.6,25.457664648555397,78.49,-16.5557,24.8319,1.0749452680715528
2026-09-03,FARM-0004,poultry,233,1,0,39.26,7.43,87.07,94.3,-3.027,31.6376,0.7700165254083807
2026-09-03,FARM-0005,cattle,141,3,0,38.32,6.01,92.93,89.0,-15.4586,23.625,-1.7770353250722344
2026-09-03,FARM-0006,goat,273,5,1,38.72,6.95,92.92,89.72,-26.9908,27.435,-0.09095874799351651
2026-09-03,FARM-0007,goat,213,4,1,38.34,7.44,35.13102927308152,80.76,-6.9902,38.7663,0.7879535102709215
2026-09-03,FARM-0008,poultry,149,2,0,38.66,6.72,93.16,94.94,-4.6884,31.6329,-0.5035093998319268
2026-09-03,FARM-0009,cattle,186,3,0,38.4,7.83,89.97,82.09,-20.4341,21.8703,1.487495919909963
2026-09-03,FARM-0010,sheep,66,0,0,38.12,6.94,85.56,83.89,1.1826,29.1134,-0.10889573285605567
2026-09-04,FARM-0001,swine,61,1,0,38.64,7.87,93.64,85.78,-21.6205,25.8573,1.5592438593601214
2026-09-04,FARM-0002,poultry,490,5,1,38.58,6.41,86.3,81.99,-19.1333,20.2849,-1.059555930570652
2026-09-04,FARM-0003,cattle,123,2,0,38.84,6.37,82.42,80.28,-0.2212,34.5285,-1.1313038700208102
2026-09-04,FARM-0004,cattle,322,6,2,37.67,6.76,88.72,84.09,-11.8614,40.2314,-0.43176146038176855
2026-09-04,FARM-0005,cattle,138,1,0,38.83,6.47,85.49,76.89,0.7957,24.8564,-0.9519340213954154
2026-09-04,FARM-0006,swine,442,18,4,38.38,7.15,93.4,80.52,-20.5854,32.4236,0.2677809492572747
2026-09-04,FARM-0007,cattle,337,4,0,39.5,6.73,90.61,96.9,-0.279,34.5394,-0.485572414969386
2026-09-04,FARM-0008,swine,75,1,0,38.02,7.28,88.68,84.12,-21.6329,40.6966,0.5009617524702885
2026-09-04,FARM-0009,cattle,301,4,0,38.91,7.31,31.02826503082765,76.78,-8.8624,35.9894,0.554772707057906
2026-09-04,FARM-0010,swine,288,4,1,38.66,6.11,90.26,81.66,-15.9603,28.1376,-1.5976654764468379
2026-09-05,FARM-0001,swine,288,8,1,38.67,6.93,96.93,85.35,-3.7874,27.2581,-0.12683271771859642
2026-09-05,FARM-0002,cattle,50,0,0,38.63,7.56,91.49,80.5,-8.6906,29.1881,1.0031973286213947
2026-09-05,FARM-0003,cattle,268,62,3,37.77,7.29,82.18,90.37,-17.8301,21.6641,0.5188987373328278
2026-09-05,FARM-0004,swine,412,3,0,38.3,6.88,98.05,90.03,-26.5544,41.4998,-0.2165176420312938
2026-09-05,FARM-0005,cattle,302,6,1,38.86,6.88,88.95,85.63,-9.0697,41.6108,-0.2165176420312938
2026-09-05,FARM-0006,swine,127,1,0,38.48,7.12,86.77,82.75,-0.6078,24.7492,0.2139699946696556
2026-09-05,FARM-0007,cattle,196,5,2,39.14,7.43,86.94,87.15,-8.8531,23.1629,0.7700165254083807
2026-09-05,FARM-0008,goat,345,12,3,39.6,6.82,86.72,86.59,4.173,29.4485,-0.3241395512065304
2026-09-05,FARM-0009,goat,460,2,0,38.73,7.1,82.96,86.07,-23.7086,37.0575,0.1780960249445757
2026-09-05,FARM-0010,cattle,105,2,0,38.23,7.42,81.83,91.44,-16.5407,36.1523,0.7520795405458416
2026-09-06,FARM-0001,cattle,407,3,1,38.12,7.97,90.15,85.09,-22.2681,22.4795,1.7386137079855162
2026-09-06,FARM-0002,sheep,203,1,0,38.19,7.39,88.76,95.77,-10.8155,37.8911,0.6982685859582225
2026-09-06,FARM-0003,sheep,265,3,1,39.07,6.21,99.26,82.02,-12.1844,38.6376,-1.4182956278214431
2026-09-06,FARM-0004,swine,270,0,0,38.43,7.53,87.82,76.89,-29.9958,32.5648,0.9493863740337771
2026-09-06,FARM-0005,sheep,349,8,3,37.72,7.67,88.67,86.02,-23.7492,32.0269,1.2005041621093302
2026-09-06,FARM-0006,poultry,386,6,1,38.81,7.2,91.21,80.35,-5.8905,26.04,0.35746587356997206
2026-09-06,FARM-0007,cattle,473,15,4,38.52,7.97,98.68,89.09,-8.0735,41.0124,1.7386137079855162
2026-09-06,FARM-0008,cattle,74,2,0,39.12,7.46,91.76,79.81,2.4149,26.6605,0.8238274799959998
2026-09-06,FARM-0009,sheep,105,4,1,38.63,6.49,91.66,83.38,-12.843,24.1912,-0.9160600516703354
2026-09-06,FARM-0010,goat,403,13,1,38.15,7.05,89.61,77.51,-10.3625,24.1191,0.08841110063187829
2026-09-07,FARM-0001,goat,265,7,2,38.36,7.14,81.9,83.46,-18.917,35.7692,0.24984396439473391
2026-09-07,FARM-0002,cattle,453,11,3,38.17,6.95,90.79,86.25,2.2383,38.3592,-0.09095874799351651
2026-09-07,FARM-0003,swine,121,3,0,37.89,7.89,101.82,89.59,-29.8462,43.1233,1.5951178290851997
2026-09-07,FARM-0004,poultry,399,8,0,38.15,7.38,88.22,91.69,-24.8426,29.2612,0.6803316010956834
2026-09-07,FARM-0005,swine,369,10,1,39.16,7.45,79.34,88.74,-17.9879,20.3091,0.8058904951334607
2026-09-07,FARM-0006,cattle,95,2,1,38.76,6.99,89.66,86.55,-3.9705,37.7374,-0.019210808543358274
2026-09-07,FARM-0007,goat,500,13,2,38.13,7.02,85.27,87.23,-19.6382,20.8082,0.03460014604425921
2026-09-07,FARM-0008,poultry,255,2,0,38.65,7.27,93.56,93.11,-23.6748,30.1029,0.4830247676077478
2026-09-07,FARM-0009,goat,349,10,3,38.93,6.66,88.59,79.03,-21.8689,26.4375,-0.6111313090071633
2026-09-07,FARM-0010,sheep,178,0,0,39.75,7.07,96.78,88.21,-5.7291,24.5772,0.1242850703569582
2026-09-08,FARM-0001,poultry,271,7,2,38.25,7.33,91.99,85.92,-6.5139,21.566,0.590646676782986
2026-09-08,FARM-0002,poultry,394,9,3,38.46,6.33,95.04,91.18,-6.0637,36.5276,-1.2030518094709683
2026-09-08,FARM-0003,sheep,259,1,0,38.15,6.94,90.06,92.65,4.8545,35.3662,-0.10889573285605567
2026-09-08,FARM-0004,poultry,468,16,5,38.41,7.11,90.98,91.9,-25.5746,36.9469,0.19603300980711644
2026-09-08,FARM-0005,cattle,346,8,1,38.83,6.67,94.74,84.42,-13.7526,23.2291,-0.5931943241446241
2026-09-08,FARM-0006,swine,489,9,4,37.77,7.52,90.98,88.22,-21.1923,21.1019,0.9314493891712364
2026-09-08,FARM-0007,swine,328,2,0,37.16,6.38,90.38,87.12,3.352,34.4807,-1.113366885158271
2026-09-08,FARM-0008,goat,201,1,0,38.42,6.79,94.32,86.41,-3.2,20.3861,-0.37795050579414946
2026-09-08,FARM-0009,cattle,107,0,0,38.26,6.48,85.62,87.2,2.588,35.9991,-0.9339970365328746
2026-09-08,FARM-0010,poultry,206,8,1,38.36,6.97,85.07,93.75,3.8458,26.4528,-0.05508477826843819
2026-09-09,FARM-0001,cattle,102,2,0,39.3,6.35,88.82,81.51,-26.9072,41.7631,-1.16717783974589
2026-09-09,FARM-0002,sheep,59,1,0,38.54,6.4,92.14,86.74,-24.4954,34.7966,-1.0774929154331911
2026-09-09,FARM-0003,cattle,134,3,1,39.24,7.25,88.19,77.18,-20.7172,21.6952,0.4471507978826695
2026-09-09,FARM-0004,cattle,95,2,0,38.51,6.56,92.0,80.93,-15.1858,24.7918,-0.7905011576325597
2026-09-09,FARM-0005,poultry,440,15,5,38.91,7.74,92.81,77.8,-5.1563,32.8169,1.3260630561471074
2026-09-09,FARM-0006,poultry,284,3,1,38.33,7.25,95.86,87.81,-3.8841,40.1249,0.4471507978826695
2026-09-09,FARM-0007,cattle,473,3,1,38.53,6.66,89.32,81.41,-25.013,31.6785,-0.6111313090071633
2026-09-09,FARM-0008,swine,310,1,0,38.59,7.64,88.97,85.8,-27.9788,42.7616,1.146693207521711
2026-09-09,FARM-0009,goat,202,1,0,38.15,6.58,86.46,88.18,-5.7106,42.9019,-0.7546271879074798
2026-09-09,FARM-0010,swine,345,4,1,38.31,7.32,87.39,78.74,-17.9625,40.6979,0.5727096919204467
2026-09-10,FARM-0001,cattle,196,0,0,38.9,7.43,93.62,79.79,-26.4449,36.9446,0.7700165254083807
2026-09-10,FARM-0002,sheep,420,9,3,38.99,6.96,89.4,87.78,-19.2577,22.6779,-0.07302176313097734
2026-09-10,FARM-0003,goat,202,3,1,37.69,6.78,91.41,81.92,-10.8655,39.0388,-0.3958874906566886
2026-09-10,FARM-0004,swine,295,11,2,39.08,6.95,92.53,83.2,-26.549,26.7974,-0.09095874799351651
2026-09-10,FARM-0005,poultry,328,6,1,37.94,7.18,88.58,89.34,-12.3542,44.1225,0.32159190384489217
2026-09-10,FARM-0006,poultry,223,3,0,38.26,6.25,85.41,82.98,-11.7254,20.4168,-1.3465476883712848
2026-09-10,FARM-0007,swine,354,2,0,39.04,6.65,97.87,91.45,-22.4445,38.7065,-0.6290682938697025
2026-09-10,FARM-0008,goat,492,13,4,37.44,7.3,86.73,83.92,-4.1656,26.3337,0.5368357221953669
2026-09-10,FARM-0009,poultry,312,10,2,38.89,6.7,79.65,87.77,1.5305,24.6906,-0.539383369557005
2026-09-10,FARM-0010,cattle,90,1,0,38.46,6.99,94.64,89.88,-0.4103,39.8556,-0.019210808543358274
2026-09-11,FARM-0001,poultry,377,3,0,38.84,7.05,90.14,92.88,-26.0227,33.4512,0.08841110063187829
2026-09-11,FARM-0002,sheep,189,5,0,38.64,6.23,93.95,87.61,-10.1393,42.0529,-1.382421658096363
2026-09-11,FARM-0003,poultry,265,4,1,37.92,6.33,94.15,85.91,-20.0224,38.497,-1.2030518094709683
2026-09-11,FARM-0004,swine,360,5,2,37.63,7.12,92.41,73.43,3.327,21.9276,0.2139699946696556
2026-09-11,FARM-0005,swine,275,1,0,37.99,6.31,93.71,86.32,-14.1992,43.5487,-1.2389257791960484
2026-09-11,FARM-0006,cattle,278,4,1,38.23,7.2,83.66,88.37,-21.7209,41.3432,0.35746587356997206
2026-09-11,FARM-0007,swine,335,8,1,37.58,7.39,88.07,80.83,4.9706,34.6536,0.6982685859582225
2026-09-11,FARM-0008,cattle,135,2,0,38.34,7.62,91.91,85.69,-19.8917,28.6336,1.1108192377966328
2026-09-11,FARM-0009,swine,443,13,3,37.86,6.79,92.32,78.01,-15.5213,27.5769,-0.37795050579414946
2026-09-11,FARM-0010,sheep,253,5,1,38.1,6.88,92.17,77.05,-25.6467,44.1045,-0.2165176420312938
2026-09-12,FARM-0001,cattle,381,5,1,38.32,6.27,84.46,84.06,-20.5397,23.1515,-1.3106737186462065
2026-09-12,FARM-0002,sheep,205,6,1,38.49,7.06,89.12,76.88,-8.2002,31.9478,0.10634808549441745
2026-09-12,FARM-0003,poultry,178,3,1,38.61,7.88,91.03,85.49,-25.5134,23.3607,1.5771808442226605
2026-09-12,FARM-0004,swine,227,5,1,38.09,7.12,91.17,88.55,-24.3037,39.2331,0.2139699946696556
2026-09-12,FARM-0005,poultry,63,1,0,37.83,6.72,85.48,78.58,-24.9397,23.1778,-0.5035093998319268
2026-09-12,FARM-0006,swine,162,3,1,38.98,6.53,89.54,82.81,3.3266,23.1339,-0.8443121122201772
2026-09-12,FARM-0007,swine,184,6,1,37.44,6.73,89.15,80.0,-20.9874,40.0407,-0.485572414969386
2026-09-12,FARM-0008,goat,305,5,1,38.7,7.08,39.45179213451944,83.73,-19.4705,25.9231,0.14222205521949735
2026-09-12,FARM-0009,sheep,370,7,1,38.74,7.7,86.21,77.05,1.204,21.5473,1.2543151166969493
2026-09-12,FARM-0010,swine,396,6,1,38.56,6.8,94.3,82.22,-17.8257,24.3531,-0.3600135209316103
2026-09-13,FARM-0001,poultry,280,7,2,38.69,7.41,91.55,85.13,1.8217,44.5179,0.7341425556833024
2026-09-13,FARM-0002,swine,478,19,1,37.88,7.98,91.36,87.55,-4.7701,27.9539,1.756550692848057
2026-09-13,FARM-0003,sheep,367,8,3,38.58,7.0,94.42,82.79,-5.2632,25.6747,-0.0012738236808191123
2026-09-13,FARM-0004,poultry,72,1,0,38.98,7.48,90.8,80.39,-2.3345,30.1424,0.8597014497210798
2026-09-13,FARM-0005,poultry,379,7,2,38.26,7.74,87.12,92.86,-16.6757,20.3813,1.3260630561471074
2026-09-13,FARM-0006,goat,462,4,1,38.95,6.39,92.71,78.27,-17.7633,41.0692,-1.0954299002957317
2026-09-13,FARM-0007,goat,198,3,0,38.31,7.63,91.4,77.7,-16.2721,27.9966,1.1287562226591719
2026-09-13,FARM-0008,poultry,67,0,0,37.94,6.19,84.81,83.01,3.3058,23.9878,-1.4541695975465214
2026-09-13,FARM-0009,poultry,177,2,0,38.0,7.24,89.33,83.69,-7.1818,31.21,0.4292138130201303
2026-09-13,FARM-0010,swine,81,2,0,37.8,6.67,91.86,78.92,-14.2916,27.3484,-0.5931943241446241
2026-09-14,FARM-0001,goat,191,0,0,38.83,6.7,85.95,87.11,-24.3188,43.6256,-0.539383369557005
