farm_id,date,tag_id,animal_type,total_animals,sick_animals,deceased_animals,avg_temperature,feed_intake_percent,water_intake_percent,activity_level,location_lat,location_lon,activity_level_normalized
FARM-0008,2026-08-26,FARM-0008-POU-HERD,poultry,231,4,2,37.73,94.74,84.63,5.77,-15.951,29.561,-1.6069589042865957
FARM-0009,2026-08-26,FARM-0009-POU-HERD,poultry,110,2,0,38.29,87.59,78.13,7.09,-5.9256,36.0544,0.19149886199761654
FARM-0010,2026-08-26,FARM-0010-CAT-HERD,cattle,183,9,2,38.28,90.37,87.54,7.45,-7.1798,41.0567,0.6819873437114929
FARM-0001,2026-08-27,FARM-0001-CAT-HERD,cattle,117,1,0,38.86,87.96,85.55,6.75,-21.1624,29.7114,-0.27174025962104387
FARM-0002,2026-08-27,FARM-0002-SWI-HERD,swine,465,7,1,38.18,81.74,84.58,7.0,-21.7038,38.6091,0.06887674156914775
FARM-0003,2026-08-27,FARM-0003-SHE-HERD,sheep,75,1,0,38.92,89.08,84.33,5.54,-3.9159,27.7299,-1.9203265453815714
FARM-0004,2026-08-27,FARM-0004-SHE-HERD,sheep,140,3,0,38.17,93.74,74.99,7.52,-12.6958,24.9891,0.7773601040447458
FARM-0005,2026-08-27,FARM-0005-GOA-HERD,goat,366,1,0,38.77,89.35,87.09,6.93,0.3282,36.9884,-0.026496018764106292
FARM-0006,2026-08-27,FARM-0006-SHE-HERD,sheep,477,11,3,38.54,102.61,85.0,7.2,-25.2449,30.3912,0.34137034252130133
FARM-0007,2026-08-27,FARM-0007-GOA-HERD,goat,439,10,4,38.61,88.69,77.0,7.45,-19.3123,39.8121,0.6819873437114929
FARM-0008,2026-08-27,FARM-0008-POU-HERD,poultry,300,3,0,37.56,94.29,85.3,7.92,-12.7907,36.2831,1.322347305949053
FARM-0009,2026-08-27,FARM-0009-CAT-HERD,cattle,160,1,0,39.3,96.08,89.29,7.08,-22.5468,40.8614,0.17787418195000917
FARM-0010,2026-08-27,FARM-0010-POU-HERD,poultry,291,2,0,37.52,90.81,77.51,1.039994696251894,-14.7458,33.2429,-8.051439792992122
FARM-0001,2026-08-28,FARM-0001-GOA-HERD,goat,142,1,0,38.54,93.56,78.12,8.31,4.5139,31.2106,1.8537098278057527
FARM-0002,2026-08-28,FARM-0002-SWI-HERD,swine,154,2,0,37.8,88.21,89.0,7.31,-26.7486,29.1609,0.49124182304498487
FARM-0003,2026-08-28,FARM-0003-POU-HERD,poultry,397,0,0,38.91,82.22,82.54,6.59,-4.6076,37.1635,-0.4897351403827667
FARM-0004,2026-08-28,FARM-0004-SHE-HERD,sheep,342,5,2,38.35,82.56,85.86,7.41,-12.7306,23.4737,0.6274886235210623
FARM-0005,2026-08-28,FARM-0005-SWI-HERD,swine,64,1,0,37.81,90.89,72.42,7.11,-27.1774,42.0523,0.2187482220928325
FARM-0006,2026-08-28,FARM-0006-CAT-HERD,cattle,116,3,0,38.47,88.41,83.45,6.84,-22.0714,31.829,-0.14911813919257508
FARM-0007,2026-08-28,FARM-0007-GOA-HERD,goat,208,3,1,38.95,94.52,83.33,6.83,-3.3236,22.1076,-0.16274281924018247
FARM-0008,2026-08-28,FARM-0008-SHE-HERD,sheep,86,1,0,38.83,87.21,96.19,7.0,2.0552,29.2469,0.06887674156914775
FARM-0009,2026-08-28,FARM-0009-GOA-HERD,goat,375,0,0,39.17,86.52,82.42,1.5381609612960934,-20.3851,33.6437,-7.372704195818228
FARM-0010,2026-08-28,FARM-0010-CAT-HERD,cattle,177,1,0,39.48,89.35,87.82,7.32,-7.8315,33.605,0.5048665030925934
FARM-0001,2026-08-29,FARM-0001-SHE-HERD,sheep,230,3,0,38.1,87.7,92.16,6.72,4.4291,35.5223,-0.31261429976386723
FARM-0002,2026-08-29,FARM-0002-SHE-HERD,sheep,76,1,0,38.51,87.12,90.1,7.9,4.8753,34.8159,1.295097945853838
FARM-0003,2026-08-29,FARM-0003-POU-HERD,poultry,475,12,2,39.33,93.48,85.33,7.78,-16.441,20.6633,1.131601785282546
FARM-0004,2026-08-29,FARM-0004-SHE-HERD,sheep,250,4,0,37.89,88.34,86.05,6.57,-2.5996,30.1755,-0.5169845004779815
FARM-0005,2026-08-29,FARM-0005-POU-HERD,poultry,391,7,1,38.87,96.67,77.41,7.5,-0.6394,38.0218,0.750110743949531
FARM-0006,2026-08-29,FARM-0006-SHE-HERD,sheep,171,3,0,37.58,84.66,83.54,7.91,-26.4014,41.3079,1.3087226259014455
FARM-0007,2026-08-29,FARM-0007-CAT-HERD,cattle,489,5,1,38.15,88.51,84.72,6.58,-18.1818,31.3986,-0.5033598204303741
FARM-0008,2026-08-29,FARM-0008-SHE-HERD,sheep,398,5,1,38.81,96.29,83.89,6.66,-0.3542,34.4735,-0.3943623800495127
FARM-0009,2026-08-29,FARM-0009-CAT-HERD,cattle,190,5,1,39.18,91.97,80.34,7.72,-28.2707,35.5286,1.0498537049968992
FARM-0010,2026-08-29,FARM-0010-SHE-HERD,sheep,223,5,1,38.7,88.63,84.37,6.63,-15.1794,22.6141,-0.435236420192336
FARM-0001,2026-08-30,FARM-0001-SHE-HERD,sheep,243,4,0,38.57,87.5,87.72,7.47,-7.8915,25.1128,0.7092367038067077
FARM-0002,2026-08-30,FARM-0002-SHE-HERD,sheep,118,2,0,38.31,89.87,86.69,7.64,-20.333,25.7372,0.9408562646160379
FARM-0003,2026-08-30,FARM-0003-CAT-HERD,cattle,73,0,0,38.08,85.96,86.98,7.33,-6.2739,36.6878,0.5184911831402008
FARM-0004,2026-08-30,FARM-0004-POU-HERD,poultry,179,57,2,38.49,94.15,74.96,7.41,2.1867,20.9287,0.6274886235210623
FARM-0005,2026-08-30,FARM-0005-SHE-HERD,sheep,95,3,0,38.72,97.34,89.82,6.6,-19.6278,22.9537,-0.47611046033515936
FARM-0006,2026-08-30,FARM-0006-GOA-HERD,goat,343,8,1,38.41,94.03,86.44,6.97,-0.108,32.9459,0.028002701426324418
FARM-0007,2026-08-30,FARM-0007-POU-HERD,poultry,217,3,0,39.02,92.65,79.88,6.55,-4.7887,34.3057,-0.5442338605731974
FARM-0008,2026-08-30,FARM-0008-POU-HERD,poultry,482,19,4,38.78,89.21,82.28,7.06,-21.3249,37.1207,0.1506248218547932
FARM-0009,2026-08-30,FARM-0009-GOA-HERD,goat,336,0,0,38.83,89.99,76.6,7.92,-2.9485,29.8573,1.322347305949053
FARM-0010,2026-08-30,FARM-0010-CAT-HERD,cattle,161,1,0,38.7,93.11,87.56,6.88,-28.7466,40.9853,-0.09461941900214438
FARM-0001,2026-08-31,FARM-0001-SHE-HERD,sheep,179,3,1,38.12,95.29,80.95,6.96,-16.7418,35.9593,0.014378021378717043
FARM-0002,2026-08-31,FARM-0002-SHE-HERD,sheep,431,5,1,38.86,84.9,88.23,6.66,-20.9276,26.5824,-0.3943623800495127
FARM-0003,2026-08-31,FARM-0003-GOA-HERD,goat,173,4,1,38.2,87.03,86.02,7.15,-7.2154,40.7879,0.27324694228326324
FARM-0004,2026-08-31,FARM-0004-GOA-HERD,goat,374,3,1,38.44,93.94,77.11,7.23,-0.5731,34.4341,0.38224438266412464
FARM-0005,2026-08-31,FARM-0005-CAT-HERD,cattle,382,9,2,38.59,78.32,86.55,6.6,-2.8326,35.6461,-0.47611046033515936
FARM-0006,2026-08-31,FARM-0006-SWI-HERD,swine,304,1,0,38.47,86.53,89.97,7.79,-20.8176,43.285,1.1452264653301534
FARM-0007,2026-08-31,FARM-0007-SWI-HERD,swine,127,3,0,38.73,87.9,93.83,7.01,-20.9447,30.8832,0.08250142161675512
FARM-0008,2026-08-31,FARM-0008-POU-HERD,poultry,149,2,0,38.43,86.51,79.92,7.53,-10.118,24.2398,0.7909847840923544
FARM-0009,2026-08-31,FARM-0009-POU-HERD,poultry,67,1,0,38.64,97.45,81.42,6.94,-5.2529,43.5771,-0.012871338716497708
FARM-0010,2026-08-31,FARM-0010-GOA-HERD,goat,463,1,0,37.58,97.32,85.65,7.3,-24.0783,23.6166,0.47761714299737745
FARM-0001,2026-09-01,FARM-0001-SHE-HERD,sheep,79,1,0,39.24,86.47,78.82,7.19,-12.2222,28.9459,0.3277456624736939
FARM-0002,2026-09-01,FARM-0002-SWI-HERD,swine,282,4,1,38.15,86.02,81.07,6.4,-26.1862,27.7099,-0.7486040612873117
FARM-0003,2026-09-01,FARM-0003-POU-HERD,poultry,426,10,3,37.49,92.05,95.57,7.18,3.405,36.0777,0.3141209824260853
FARM-0004,2026-09-01,FARM-0004-GOA-HERD,goat,141,0,0,38.87,83.24,87.89,7.07,-14.915,28.047,0.1642495019024018
FARM-0005,2026-09-01,FARM-0005-SWI-HERD,swine,297,9,2,38.95,88.76,77.02,7.0,2.6713,29.9629,0.06887674156914775
FARM-0006,2026-09-01,FARM-0006-POU-HERD,poultry,201,5,1,38.05,96.14,82.5,6.85,0.0084,37.8657,-0.13549345914496772
FARM-0007,2026-09-01,FARM-0007-POU-HERD,poultry,53,1,0,37.95,97.77,88.86,6.06,-14.7564,41.0209,-1.2118431829059733
FARM-0008,2026-09-01,FARM-0008-POU-HERD,poultry,128,2,0,37.88,82.69,73.68,6.65,-14.517,35.3489,-0.40798706009712005
FARM-0009,2026-09-01,FARM-0009-SWI-HERD,swine,247,3,0,38.28,85.1,78.84,6.14,-19.2935,20.8074,-1.102845742525112
FARM-0010,2026-09-01,FARM-0010-POU-HERD,poultry,127,2,0,43.66466593806434,85.97,89.84,5.51,-6.3334,39.0548,-1.9612005855243946
FARM-0001,2026-09-02,FARM-0001-CAT-HERD,cattle,362,7,3,38.26,85.06,84.79,7.47,-11.7743,26.8438,0.7092367038067077
FARM-0002,2026-09-02,FARM-0002-POU-HERD,poultry,253,8,2,38.83,85.67,77.35,7.4,-26.9523,24.4344,0.6138639434734549
FARM-0003,2026-09-02,FARM-0003-GOA-HERD,goat,135,2,0,38.37,99.38,84.0,7.5,-13.3704,40.8776,0.750110743949531
FARM-0004,2026-09-02,FARM-0004-SHE-HERD,sheep,186,1,0,38.74,90.22,92.61,7.48,-21.212,28.7505,0.7228613838543163
FARM-0005,2026-09-02,FARM-0005-POU-HERD,poultry,414,7,0,36.67,93.3,79.17,5.91,-17.956,32.5101,-1.4162133836200876
FARM-0006,2026-09-02,FARM-0006-SHE-HERD,sheep,55,1,0,38.41,86.37,78.46,7.34,-28.7158,41.7757,0.5321158631878082
FARM-0007,2026-09-02,FARM-0007-CAT-HERD,cattle,103,1,0,37.9,84.33,89.71,6.13,-7.7614,42.914,-1.1164704225727193
FARM-0008,2026-09-02,FARM-0008-GOA-HERD,goat,189,1,0,38.89,89.28,79.82,7.93,-7.681,41.0491,1.3359719859966603
FARM-0009,2026-09-02,FARM-0009-POU-HERD,poultry,366,9,3,39.37,88.04,76.11,7.51,-9.3926,26.2873,0.7637354239971385
FARM-0010,2026-09-02,FARM-0010-GOA-HERD,goat,480,14,2,38.4,95.66,74.23,6.32,-14.8935,37.73,-0.8576015016681731
FARM-0001,2026-09-03,FARM-0001-SHE-HERD,sheep,177,4,1,37.24,90.61,78.4,6.3,-16.4899,35.4368,-0.8848508617633891
FARM-0002,2026-09-03,FARM-0002-SWI-HERD,swine,364,9,3,39.15,80.61,104.2,6.79,-14.4196,24.4256,-0.21724153943061317
FARM-0003,2026-09-03,FARM-0003-SWI-HERD,swine,390,6,2,38.25,95.39,77.05,6.66,-13.7115,36.1334,-0.3943623800495127
FARM-0004,2026-09-03,FARM-0004-SHE-HERD,sheep,321,12,3,38.02,93.98,83.86,7.23,-12.9328,35.8817,0.38224438266412464
FARM-0005,2026-09-03,FARM-0005-SHE-HERD,sheep,149,2,0,38.0,88.01,90.27,6.68,3.6938,34.0948,-0.3671130199542979
FARM-0006,2026-09-03,FARM-0006-GOA-HERD,goat,168,1,0,38.11,86.75,89.89,6.99,-0.1511,37.0997,0.05525206152154038
FARM-0007,2026-09-03,FARM-0007-SWI-HERD,swine,178,3,0,38.9,89.82,86.69,6.92,-18.7518,39.087,-0.040120698811713665
FARM-0008,2026-09-03,FARM-0008-SWI-HERD,swine,61,1,0,39.11,93.24,76.18,7.07,-3.4874,28.3422,0.1642495019024018
FARM-0009,2026-09-03,FARM-0009-SWI-HERD,swine,393,4,1,38.84,85.18,77.68,6.85,0.8677,36.9832,-0.13549345914496772
FARM-0010,2026-09-03,FARM-0010-SHE-HERD,sheep,464,6,2,39.38,92.31,82.94,7.53,-24.9417,22.8423,0.7909847840923544
FARM-0001,2026-09-04,FARM-0001-SWI-HERD,swine,192,2,0,38.09,98.25,87.34,7.68,3.53,38.2516,0.9953549848064687
FARM-0002,2026-09-04,FARM-0002-POU-HERD,poultry,288,5,1,38.54,84.54,82.3,5.9,-18.8188,22.4586,-1.429838063667695
FARM-0003,2026-09-04,FARM-0003-SHE-HERD,sheep,198,4,1,38.46,97.93,83.37,6.76,-12.6884,42.0101,-0.2581155795734365
FARM-0004,2026-09-04,FARM-0004-SWI-HERD,swine,227,7,2,38.19,85.68,84.88,8.12,-5.6055,34.8769,1.5948409069012053
FARM-0005,2026-09-04,FARM-0005-SHE-HERD,sheep,490,15,4,38.97,92.65,76.88,7.78,-20.082,30.7628,1.131601785282546
FARM-0006,2026-09-04,FARM-0006-CAT-HERD,cattle,171,6,1,38.39,86.79,88.26,7.53,4.2714,27.3189,0.7909847840923544
FARM-0007,2026-09-04,FARM-0007-SWI-HERD,swine,221,1,0,38.01,90.29,81.45,6.55,-20.8469,32.804,-0.5442338605731974
FARM-0008,2026-09-04,FARM-0008-GOA-HERD,goat,198,4,1,38.89,87.25,84.66,6.65,-16.347,20.1766,-0.40798706009712005
FARM-0009,2026-09-04,FARM-0009-SHE-HERD,sheep,433,16,6,37.84,87.12,81.35,7.72,-17.0004,29.737,1.0498537049968992
FARM-0010,2026-09-04,FARM-0010-GOA-HERD,goat,333,10,2,38.19,87.53,83.32,6.82,-8.5523,29.4449,-0.17636749928778983
FARM-0001,2026-09-05,FARM-0001-SWI-HERD,swine,494,2,0,38.16,92.01,84.98,7.09,-9.4653,33.3876,0.19149886199761654
FARM-0002,2026-09-05,FARM-0002-SWI-HERD,swine,265,5,1,38.51,88.58,84.7,6.58,-16.2768,30.2641,-0.5033598204303741
FARM-0003,2026-09-05,FARM-0003-SWI-HERD,swine,133,0,0,38.04,88.32,90.08,6.98,-27.5092,34.4652,0.041627381473933
FARM-0004,2026-09-05,FARM-0004-SHE-HERD,sheep,86,1,0,38.91,94.96,87.45,7.78,-8.3258,22.9484,1.131601785282546
FARM-0005,2026-09-05,FARM-0005-SHE-HERD,sheep,162,3,0,38.09,92.98,88.51,6.83,-8.0887,23.0359,-0.16274281924018247
FARM-0006,2026-09-05,FARM-0006-POU-HERD,poultry,346,10,1,38.32,86.99,85.94,6.48,2.0196,28.3008,-0.6396066209064503
FARM-0007,2026-09-05,FARM-0007-GOA-HERD,goat,473,12,2,38.02,93.14,84.47,7.01,-16.1495,30.0842,0.08250142161675512
FARM-0008,2026-09-05,FARM-0008-CAT-HERD,cattle,437,15,5,38.54,89.45,72.71,6.89,-10.9052,31.2259,-0.080994738954537
FARM-0009,2026-09-05,FARM-0009-CAT-HERD,cattle,427,5,1,39.12,86.04,89.42,7.36,-11.3324,38.8153,0.5593652232830242
FARM-0010,2026-09-05,FARM-0010-SWI-HERD,swine,319,3,1,38.26,87.12,92.89,7.73,-3.8252,27.2333,1.063478385044508
FARM-0001,2026-09-06,FARM-0001-POU-HERD,poultry,149,4,2,38.48,91.29,89.38,7.29,-12.998,30.0644,0.4639924629497701
FARM-0002,2026-09-06,FARM-0002-POU-HERD,poultry,86,3,0,38.83,87.46,87.44,6.08,-29.1189,29.0032,-1.1845938228107573
FARM-0003,2026-09-06,FARM-0003-CAT-HERD,cattle,173,4,1,38.55,82.64,88.0,6.55,3.5232,40.7375,-0.5442338605731974
FARM-0004,2026-09-06,FARM-0004-SHE-HERD,sheep,280,7,1,39.08,94.46,80.43,6.75,-2.0722,21.1174,-0.27174025962104387
FARM-0005,2026-09-06,FARM-0005-GOA-HERD,goat,412,3,1,37.73,91.06,89.2,6.6,-15.5434,23.6711,-0.47611046033515936
FARM-0006,2026-09-06,FARM-0006-SWI-HERD,swine,122,2,0,38.45,89.75,81.93,2.9959671265883143,-23.9957,29.9142,-5.386489938464591
FARM-0007,2026-09-06,FARM-0007-SHE-HERD,sheep,235,3,0,39.42,89.85,89.6,7.05,-1.9124,39.3459,0.13700014180718584
FARM-0008,2026-09-06,FARM-0008-POU-HERD,poultry,87,2,0,37.74,82.43,80.13,6.96,-29.458,24.5817,0.014378021378717043
FARM-0009,2026-09-06,FARM-0009-CAT-HERD,cattle,283,4,1,38.31,78.99,77.42,6.81,-9.1147,22.2745,-0.18999217933539841
FARM-0010,2026-09-06,FARM-0010-POU-HERD,poultry,204,3,0,43.0043551318517,93.06,82.32,6.72,-8.8962,38.4584,-0.31261429976386723
FARM-0001,2026-09-07,FARM-0001-SHE-HERD,sheep,303,10,5,38.26,88.25,78.13,7.0,-24.4428,31.6959,0.06887674156914775
FARM-0002,2026-09-07,FARM-0002-CAT-HERD,cattle,394,2,0,38.07,91.8,83.97,6.46,-10.8955,26.0246,-0.6668559810016662
FARM-0003,2026-09-07,FARM-0003-POU-HERD,poultry,441,8,1,38.17,92.71,90.8,7.04,-22.8953,30.4709,0.12337546175957846
FARM-0004,2026-09-07,FARM-0004-CAT-HERD,cattle,478,17,6,38.87,89.19,93.55,7.13,-16.3866,43.221,0.24599758218804726
FARM-0005,2026-09-07,FARM-0005-GOA-HERD,goat,166,4,1,38.04,95.85,96.95,6.9,-11.8082,35.7521,-0.06737005890692842
FARM-0006,2026-09-07,FARM-0006-CAT-HERD,cattle,378,3,0,37.61,94.26,87.25,7.14,-27.3275,26.3758,0.25962226223565465
FARM-0007,2026-09-07,FARM-0007-SWI-HERD,swine,429,13,3,38.77,90.64,75.07,6.52,-19.3902,44.6262,-0.5851079007160208
FARM-0008,2026-09-07,FARM-0008-CAT-HERD,cattle,457,6,2,38.85,84.15,84.23,6.58,-28.4023,36.5779,-0.5033598204303741
FARM-0009,2026-09-07,FARM-0009-SHE-HERD,sheep,98,3,0,38.08,86.73,85.56,6.49,-3.6169,24.2926,-0.6259819408588428
FARM-0010,2026-09-07,FARM-0010-GOA-HERD,goat,311,2,0,38.62,84.08,75.69,7.22,-24.8329,27.0085,0.36861970261651605
FARM-0001,2026-09-08,FARM-0001-POU-HERD,poultry,159,5,1,38.26,91.56,84.75,7.05,-18.6269,22.5412,0.13700014180718584
FARM-0002,2026-09-08,FARM-0002-POU-HERD,poultry,493,11,3,38.54,97.79,86.05,7.33,-19.2381,43.9322,0.5184911831402008
FARM-0003,2026-09-08,FARM-0003-GOA-HERD,goat,283,8,0,39.17,84.24,80.54,6.98,3.3101,43.1633,0.041627381473933
FARM-0004,2026-09-08,FARM-0004-SHE-HERD,sheep,363,12,4,43.32171416206073,92.61,78.62,7.77,-7.0419,23.016,1.1179771052349374
FARM-0005,2026-09-08,FARM-0005-POU-HERD,poultry,311,7,0,38.24,86.04,78.76,6.77,-5.6278,32.6798,-0.24449089952582914
FARM-0006,2026-09-08,FARM-0006-CAT-HERD,cattle,104,1,0,39.44,94.32,77.17,6.51,-17.4875,37.0397,-0.5987325807636281
FARM-0007,2026-09-08,FARM-0007-SWI-HERD,swine,397,10,2,39.01,89.51,88.01,6.45,3.74,28.4056,-0.6804806610492736
FARM-0008,2026-09-08,FARM-0008-SWI-HERD,swine,459,10,4,38.91,88.47,90.21,7.22,-18.6849,44.121,0.36861970261651605
FARM-0009,2026-09-08,FARM-0009-SHE-HERD,sheep,344,7,2,38.84,91.69,88.9,6.17,-10.9477,41.312,-1.0619717023822886
FARM-0010,2026-09-08,FARM-0010-POU-HERD,poultry,467,2,0,38.05,82.89,83.54,8.03,-4.9111,31.9766,1.4722187864727365
FARM-0001,2026-09-09,FARM-0001-CAT-HERD,cattle,89,0,0,38.54,92.54,84.74,6.74,-3.1299,42.1092,-0.2853649396686513
FARM-0002,2026-09-09,FARM-0002-CAT-HERD,cattle,127,2,1,38.86,90.6,94.93,7.41,-19.7703,27.0802,0.6274886235210623
FARM-0003,2026-09-09,FARM-0003-CAT-HERD,cattle,372,6,1,37.91,91.68,89.79,7.52,-1.7093,40.6106,0.7773601040447458
FARM-0004,2026-09-09,FARM-0004-SWI-HERD,swine,136,2,0,39.26,90.17,80.41,7.07,-5.4401,32.4819,0.1642495019024018
FARM-0005,2026-09-09,FARM-0005-POU-HERD,poultry,398,2,0,39.56,90.08,96.02,7.55,-8.1401,20.1736,0.8182341441875691
